ball_id	frame	x	y
0	158	2321	1044
0	159	2271	1041
0	160	2216	1038
0	161	2156	1034
0	162	2082	1042
0	163	2008	1029
0	164	1919	1028
0	165	1823	1029
0	166	1731	1017
0	167	1599	1037
0	168	1487	1035
0	169	1367	1021
0	170	1234	1022
0	171	1091	1018
0	172	919	1039
0	173	760	1038
0	174	608	1014
1	184	2342	1042
1	185	2298	1046
1	186	2248	1043
1	187	2188	1054
1	188	2125	1054
1	189	2051	1058
1	190	1971	1074
1	191	1901	1070
1	192	1844	1075
1	193	1772	1071
1	194	1683	1065
1	195	1575	1061
1	196	1466	1033
1	197	1333	1044
1	198	1220	1054
1	199	1089	1068
1	200	967	1060
1	201	835	1048
1	202	680	1048
1	203	503	1060
1	204	382	1030
1	205	212	1062
2	241	2343	1060
2	242	2302	1069
2	243	2252	1073
2	244	2226	1054
2	245	2171	1050
2	246	2085	1063
2	247	2012	1066
2	248	1928	1070
2	249	1856	1052
2	250	1750	1059
2	251	1654	1037
2	252	1547	1024
2	253	1428	1013
2	254	1304	993
2	255	1163	984
2	256	1028	963
2	257	876	953
2	258	711	944
2	259	559	916
2	260	395	887
3	273	2298	1021
3	274	2263	1020
3	275	2205	1029
3	276	2127	1051
3	277	2079	1029
3	278	2021	1023
3	279	1936	1027
3	280	1835	1042
3	281	1751	1034
3	282	1658	1029
3	283	1540	1038
3	284	1402	1055
3	285	1276	1055
3	286	1132	1059
3	287	975	1066
3	288	827	1045
3	289	675	1028
3	290	540	996
4	300	2318	1051
4	301	2268	1046
4	302	2213	1044
4	303	2155	1050
4	304	2080	1053
4	305	2039	1034
4	306	1973	1022
4	307	1880	1026
4	308	1766	1035
4	309	1670	1034
4	310	1560	1036
4	311	1416	1060
4	312	1330	1046
4	313	1236	1038
4	314	1098	1095
4	315	963	1109
4	316	825	1101
4	317	679	1121
4	318	561	1156
4	319	439	1172
4	320	299	1187
4	321	142	1208
5	326	2323	1051
5	328	2235	1050
5	330	2116	1057
5	331	2027	1090
5	332	1970	1085
5	333	1881	1103
5	334	1793	1113
5	335	1710	1111
5	336	1604	1119
5	337	1475	1140
5	338	1354	1150
5	339	1254	1138
5	340	1130	1137
5	341	983	1147
5	342	814	1171
5	343	664	1169
5	344	510	1186
6	431	2345	1060
6	434	2213	1088
6	435	2153	1097
6	436	2089	1106
6	437	2011	1104
6	438	1971	1090
6	439	1888	1115
6	440	1801	1113
6	441	1710	1095
6	442	1602	1105
6	443	1513	1107
6	444	1402	1118
6	445	1268	1139
6	446	1118	1167
6	447	1018	1161
6	448	875	1207
6	449	732	1221
6	450	590	1206
7	461	2343	1032
7	462	2304	1027
7	463	2260	1017
7	464	2202	1004
7	465	2151	994
7	466	2096	970
7	467	2017	957
7	468	1936	946
7	469	1862	926
7	470	1785	903
7	471	1681	892
7	472	1558	893
7	473	1436	897
7	474	1314	897
7	475	1192	886
7	476	1068	873
7	477	926	871
7	478	764	882
7	479	626	871
7	480	460	877
8	484	2329	1035
8	486	2224	1025
8	487	2165	1018
8	488	2095	1013
8	489	2014	1026
8	490	1958	987
8	491	1881	966
8	492	1781	957
8	493	1666	952
8	494	1602	962
8	495	1531	958
8	496	1437	957
8	497	1328	955
8	498	1203	952
8	499	1081	920
8	500	931	926
8	501	804	900
8	502	656	884
8	503	482	879
8	504	342	838
8	505	176	810
9	522	2337	1051
9	523	2292	1046
9	524	2245	1034
9	525	2187	1023
9	526	2123	1014
9	527	2051	1006
9	528	1978	1000
9	529	1892	990
9	530	1805	972
9	531	1705	968
9	532	1589	965
9	533	1472	960
9	534	1358	943
9	535	1221	937
9	536	1066	941
9	537	922	928
9	538	772	913
9	539	599	910
10	566	2346	1050
10	567	2303	1053
10	568	2251	1052
10	569	2205	1043
10	570	2131	1058
10	571	2048	1064
10	572	1977	1056
10	573	1891	1060
10	574	1792	1070
10	575	1711	1054
10	576	1632	1025
10	577	1527	1006
10	578	1399	1002
10	579	1250	1006
10	580	1114	985
10	581	961	974
10	582	828	936
10	583	675	912
11	595	2271	1059
11	597	2177	1064
11	598	2118	1053
11	599	2043	1054
11	600	1999	1032
11	601	1913	1054
11	602	1841	1018
11	603	1727	1027
11	604	1605	1052
11	605	1503	1042
11	606	1378	1046
11	607	1299	1020
11	608	1166	1053
11	609	1041	1047
11	610	890	1055
11	611	747	1020
11	612	570	1035
11	613	405	1019
11	614	252	973
12	619	2329	1037
12	620	2284	1043
12	621	2271	1031
12	622	2225	1046
12	623	2168	1049
12	624	2101	1049
12	625	2042	1047
12	626	1990	1061
12	627	1914	1079
12	628	1804	1119
12	629	1731	1113
12	630	1613	1147
12	631	1543	1126
12	632	1448	1122
12	633	1328	1130
12	634	1186	1151
12	635	1024	1186
12	636	912	1186
12	637	775	1204
12	638	614	1231
13	673	2251	1066
13	674	2200	1079
13	675	2127	1100
13	676	2058	1096
13	677	1990	1092
13	678	1913	1091
13	679	1813	1100
13	680	1690	1121
13	681	1607	1111
13	682	1497	1117
13	683	1361	1135
13	684	1215	1152
13	685	1125	1105
13	686	980	1123
13	687	847	1095
13	688	695	1068
13	689	546	1011
14	691	2338	1048
14	692	2294	1051
14	693	2256	1052
14	694	2198	1053
14	695	2137	1055
14	696	2071	1056
14	697	1991	1053
14	698	1901	1061
14	699	1828	1039
14	700	1753	1000
14	701	1640	990
14	702	1500	995
14	703	1392	971
14	704	1253	972
14	705	1145	925
14	706	1003	903
14	707	840	886
14	708	678	873
14	709	541	822
14	710	384	812
14	711	222	779
15	718	2331	1052
15	719	2282	1059
15	721	2165	1072
15	722	2096	1078
15	723	2016	1078
15	725	1845	1082
15	726	1750	1085
15	727	1633	1095
15	728	1509	1109
15	729	1369	1132
15	730	1243	1134
15	731	1092	1151
15	732	980	1146
15	733	833	1198
15	734	689	1215
15	735	523	1240
