ball_id	frame	x	y
0	195	2322	1016
0	197	2222	995
0	198	2164	986
0	199	2087	982
0	200	2008	962
0	201	1957	916
0	202	1893	876
0	203	1801	850
0	204	1686	837
0	205	1584	810
0	206	1489	767
0	207	1372	739
0	208	1229	720
0	209	1117	703
0	210	1005	687
0	211	870	686
0	212	711	698
1	218	2335	1043
1	221	2187	1034
1	222	2142	1023
1	223	2092	992
1	224	1997	1003
1	225	1907	994
1	226	1832	973
1	227	1746	961
1	228	1637	960
1	229	1502	974
1	230	1397	972
1	231	1266	981
1	232	1129	991
1	233	989	993
1	234	841	998
1	235	718	999
1	236	573	1007
1	237	412	1028
2	252	2330	1024
2	253	2274	1028
2	254	2226	1008
2	255	2168	993
2	256	2076	999
2	257	2034	972
2	258	1958	964
2	259	1860	966
2	260	1761	955
2	261	1675	924
2	262	1567	902
2	263	1433	891
2	264	1305	872
2	265	1171	854
2	266	1035	831
2	267	896	803
2	268	733	786
3	304	2305	1052
3	305	2248	1053
3	307	2129	1058
3	308	2058	1054
3	309	2000	1041
3	310	1938	1029
3	311	1853	1028
3	312	1743	1040
3	313	1614	1058
3	314	1516	1062
3	315	1398	1081
3	316	1261	1106
3	317	1118	1122
3	318	969	1137
3	319	805	1164
3	320	651	1159
4	339	2340	1034
4	341	2244	1036
4	342	2182	1041
4	343	2116	1044
4	344	2060	1034
4	345	1973	1039
4	346	1889	1040
4	347	1839	1013
4	348	1737	1045
4	349	1635	1049
4	350	1537	1014
4	351	1394	1034
4	352	1285	1038
4	353	1162	1047
4	354	1020	1063
4	355	890	1070
4	356	755	1072
4	357	600	1085
5	389	2341	1025
5	390	2302	1013
5	391	2258	1004
5	392	2216	998
5	393	2161	990
5	394	2101	986
5	395	2047	968
5	396	1965	971
5	397	1902	962
5	398	1827	953
5	399	1729	960
5	400	1609	975
5	401	1520	956
5	402	1425	934
5	403	1307	923
5	404	1166	927
5	405	1006	940
5	406	890	901
5	407	746	877
5	408	581	866
6	419	2247	1045
6	421	2139	1041
6	422	2066	1043
6	423	1978	1050
6	424	1891	1047
6	425	1783	1051
6	426	1711	1042
6	427	1627	1029
6	428	1500	1075
6	429	1393	1051
6	430	1243	1072
6	431	1116	1074
6	432	976	1077
6	433	817	1088
6	434	660	1095
6	435	492	1101
7	465	2309	1065
7	467	2209	1065
7	469	2068	1076
7	470	2005	1074
7	471	1928	1079
7	472	1831	1093
7	473	1711	1113
7	474	1612	1097
7	475	1481	1109
7	476	1363	1094
7	477	1213	1107
7	478	1085	1087
7	479	965	1065
7	480	815	1052
7	481	650	1053
8	521	2117	1032
8	522	2043	1032
8	523	1979	1014
8	524	1896	1015
8	525	1821	979
8	526	1708	975
8	527	1589	966
8	528	1478	956
8	529	1363	943
8	530	1227	944
8	531	1057	970
8	532	933	960
8	533	799	1003
8	534	661	1028
8	535	506	1054
8	536	333	1081
9	555	2336	1054
9	556	2294	1062
9	557	2242	1069
9	558	2175	1085
9	559	2099	1084
9	560	2026	1090
9	561	1960	1072
9	562	1874	1072
9	563	1769	1080
9	564	1660	1087
9	565	1542	1095
9	566	1412	1097
9	567	1280	1098
9	568	1156	1096
9	569	1010	1102
9	570	843	1119
9	571	665	1130
9	572	497	1118
9	573	332	1093
10	592	2309	1041
10	593	2265	1041
10	594	2222	1044
10	595	2158	1055
10	596	2104	1052
10	597	2041	1045
10	598	1955	1059
10	599	1871	1057
10	600	1776	1050
10	601	1673	1037
10	602	1580	1022
10	603	1471	1024
10	604	1334	1035
10	605	1229	1033
10	606	1097	1039
10	607	944	1053
10	608	808	1060
10	609	671	1060
10	610	511	1074
11	622	2246	1062
11	623	2192	1073
11	624	2141	1071
11	625	2074	1071
11	626	1989	1078
11	627	1897	1088
11	628	1806	1102
11	629	1698	1126
11	630	1577	1150
11	631	1499	1135
11	632	1393	1133
11	633	1260	1150
11	634	1109	1176
11	635	937	1210
11	636	840	1216
11	637	721	1281
11	638	608	1306
11	639	472	1341
11	640	325	1365
11	641	162	1398
12	652	2314	1045
12	653	2267	1053
12	654	2198	1060
12	655	2140	1064
12	656	2110	1051
12	657	2037	1075
12	658	1978	1055
12	659	1872	1074
12	660	1760	1102
12	661	1667	1102
12	662	1570	1107
12	663	1487	1102
12	664	1381	1105
12	665	1249	1122
12	666	1091	1152
12	667	998	1152
12	668	896	1140
12	669	772	1139
12	670	634	1131
12	671	476	1127
12	672	307	1117
13	694	2314	1028
13	695	2270	1027
13	696	2214	1016
13	697	2147	1017
13	698	2068	1019
13	699	2009	992
13	700	1922	985
13	701	1836	978
13	702	1749	988
13	703	1671	958
13	704	1551	965
13	705	1440	973
13	706	1348	978
13	707	1232	993
13	708	1091	1022
13	709	933	1059
13	710	772	1093
13	711	609	1116
13	712	437	1133
13	713	276	1129
14	749	2312	1043
14	750	2262	1039
14	752	2142	1045
14	753	2061	1058
14	754	2008	1035
14	755	1928	1029
14	756	1828	1033
14	757	1723	1031
14	758	1631	1012
14	759	1516	1000
14	760	1379	998
14	761	1257	988
14	762	1144	970
14	763	1010	962
14	764	849	966
14	765	715	938
14	766	550	928
14	767	406	884
14	768	237	855
15	788	2325	1043
15	789	2280	1041
15	790	2225	1039
15	791	2160	1029
15	792	2090	1017
15	793	2008	1009
15	794	1910	1015
15	795	1851	979
15	796	1761	974
15	797	1646	979
15	798	1523	980
15	799	1439	933
15	800	1313	929
15	801	1206	862
15	802	1056	847
15	803	904	828
15	804	768	802
15	805	613	785
15	806	434	790
15	807	292	743
16	873	2269	1062
16	874	2221	1065
16	875	2155	1070
16	876	2084	1076
16	877	2036	1062
16	878	1952	1071
16	879	1869	1075
16	880	1809	1060
16	881	1726	1055
16	882	1618	1064
16	883	1493	1081
16	884	1371	1097
16	885	1264	1080
16	886	1118	1094
16	887	1003	1067
16	888	865	1048
16	889	706	1040
16	890	539	1028
16	891	419	976
16	892	243	980
17	911	2312	1035
17	912	2270	1025
17	913	2206	1023
17	914	2146	1006
17	915	2080	1004
17	916	2020	990
17	917	1931	993
17	918	1840	993
17	919	1747	985
17	920	1625	998
17	921	1509	995
17	922	1400	981
17	923	1261	985
17	924	1128	984
17	925	982	987
17	926	811	1002
18	978	2331	1061
18	979	2289	1065
18	980	2241	1074
18	981	2180	1080
18	982	2115	1085
18	983	2045	1090
18	984	1967	1086
18	985	1902	1079
18	986	1834	1085
18	987	1739	1099
18	988	1616	1132
18	989	1518	1157
18	990	1422	1166
18	991	1293	1203
18	992	1176	1213
18	993	1036	1237
18	994	880	1264
18	995	721	1291
18	996	563	1293
19	1001	2337	1054
19	1002	2290	1058
19	1003	2246	1056
19	1004	2186	1051
19	1005	2117	1055
19	1006	2046	1029
19	1007	1955	1021
19	1008	1868	1013
19	1009	1823	979
19	1010	1725	1002
19	1011	1623	1003
19	1012	1524	968
19	1013	1382	986
19	1014	1281	983
19	1015	1174	980
19	1016	1041	989
19	1017	888	1011
19	1018	715	1039
19	1019	596	1009
19	1020	442	1024
19	1021	287	1008
19	1022	120	991
20	1023	2163	1052
20	1024	2087	1071
20	1025	2023	1065
20	1026	1926	1080
20	1027	1841	1097
20	1028	1739	1120
20	1029	1636	1140
20	1030	1505	1177
20	1031	1398	1189
20	1032	1264	1214
20	1033	1118	1250
20	1034	982	1292
20	1035	829	1335
20	1036	675	1375
20	1037	501	1421
21	1100	2308	1049
21	1101	2255	1049
21	1102	2202	1041
21	1103	2142	1037
21	1104	2054	1048
21	1105	1968	1050
21	1106	1877	1045
21	1107	1811	1007
21	1108	1716	984
21	1109	1594	974
21	1110	1496	950
21	1111	1386	959
21	1112	1271	948
21	1113	1134	940
21	1114	986	926
21	1115	835	891
22	1124	2321	1041
22	1125	2276	1051
22	1126	2231	1061
22	1127	2178	1073
22	1128	2121	1068
22	1129	2038	1082
22	1130	1971	1069
22	1131	1877	1068
22	1132	1770	1077
22	1133	1679	1063
22	1134	1580	1050
22	1135	1459	1049
22	1136	1317	1057
22	1137	1209	1028
22	1138	1080	1031
22	1139	950	1008
22	1140	800	988
22	1141	658	929
23	1169	2300	1058
23	1170	2249	1057
23	1172	2130	1068
23	1173	2088	1042
23	1174	2015	1040
23	1175	1919	1044
23	1176	1831	1038
23	1177	1729	1033
23	1178	1613	1027
23	1179	1483	1014
23	1180	1365	983
23	1181	1215	966
23	1182	1079	930
23	1183	908	916
23	1184	765	886
23	1185	597	872
24	1248	2247	1039
24	1249	2188	1031
24	1250	2117	1025
24	1251	2039	1026
24	1252	1953	1029
24	1253	1878	1019
24	1254	1766	1038
24	1255	1672	1019
24	1256	1572	1003
24	1257	1447	998
24	1258	1300	1001
24	1259	1166	994
24	1260	1021	991
24	1261	853	999
24	1262	703	977
24	1263	530	974
24	1264	358	974
25	1266	2113	1075
25	1267	2044	1071
25	1268	1960	1077
25	1269	1886	1077
25	1270	1798	1098
25	1271	1721	1074
25	1272	1602	1089
25	1273	1456	1120
25	1274	1355	1099
25	1275	1219	1101
25	1276	1058	1117
25	1277	946	1101
25	1278	814	1094
25	1279	661	1100
25	1280	483	1116
26	1293	2289	1051
26	1294	2235	1049
26	1295	2175	1045
26	1296	2118	1048
26	1297	2072	1028
26	1298	1989	1032
26	1299	1884	1041
26	1300	1814	1034
26	1301	1719	1032
26	1302	1603	1039
26	1303	1495	1043
26	1304	1380	1050
26	1305	1240	1072
26	1306	1108	1069
26	1307	969	1074
26	1308	817	1091
26	1309	640	1123
26	1310	515	1120
27	1320	2319	1052
27	1321	2270	1051
27	1322	2214	1051
27	1323	2183	1044
27	1324	2122	1053
27	1325	2037	1073
27	1326	1968	1095
27	1327	1885	1109
27	1328	1808	1118
27	1329	1717	1139
27	1330	1593	1181
27	1331	1507	1170
27	1332	1390	1182
27	1333	1250	1201
27	1334	1103	1220
27	1335	947	1250
27	1336	840	1233
27	1337	679	1281
27	1338	520	1297
27	1339	346	1307
28	1341	2263	1043
28	1343	2133	1035
28	1344	2058	1028
28	1345	1973	1024
28	1346	1888	1004
28	1347	1785	999
28	1348	1695	968
28	1349	1592	937
28	1350	1467	921
28	1351	1317	913
28	1352	1182	900
28	1353	1037	889
28	1354	871	884
28	1355	713	898
28	1356	540	917
29	1363	2345	1036
29	1364	2303	1035
29	1365	2256	1023
29	1366	2204	1008
29	1367	2159	980
29	1368	2077	978
29	1369	2023	941
29	1370	1938	926
29	1371	1851	901
29	1372	1757	882
29	1373	1645	871
29	1374	1581	836
29	1375	1465	854
29	1376	1349	846
29	1377	1240	795
29	1378	1080	805
29	1379	958	793
29	1380	843	772
29	1381	703	766
29	1382	542	774
30	1409	2319	1037
30	1411	2211	1047
30	1412	2152	1052
30	1414	2007	1065
30	1415	1931	1050
30	1416	1848	1044
30	1417	1751	1034
30	1418	1635	1029
30	1419	1546	1005
30	1420	1441	985
30	1421	1310	980
30	1422	1158	987
30	1423	999	993
30	1424	838	993
30	1425	686	984
30	1426	533	966
30	1427	358	963
31	1479	2320	1066
31	1480	2259	1092
31	1481	2087	1115
31	1482	2010	1130
31	1483	1922	1148
31	1484	1825	1163
31	1485	1749	1159
31	1486	1655	1161
31	1487	1537	1175
31	1488	1403	1198
31	1489	1328	1161
31	1490	1194	1196
31	1491	1061	1196
31	1492	912	1195
31	1493	757	1175
31	1494	604	1172
31	1495	448	1195
31	1496	284	1198
31	1497	106	1194
32	1500	2277	1060
32	1501	2221	1060
32	1502	2168	1064
32	1503	2100	1068
32	1504	2023	1076
32	1505	1953	1075
32	1506	1880	1075
32	1507	1785	1084
32	1508	1669	1102
32	1509	1584	1102
32	1510	1484	1137
32	1511	1379	1149
32	1512	1259	1160
32	1513	1140	1136
32	1514	975	1170
32	1515	832	1164
32	1516	683	1149
32	1517	513	1147
